,Account,Network,Text,Date,Positive,Neutral,Negative,Compound
285,@BBCWorld,BBC News (World),The unlikely US box office stars https://t.co/28KqKfpark,Tue Jul 31 19:44:26 +0000 2018,0.0,1.0,0.0,0.0
286,@CBS,CBS,Celebrate #NationalAvocadoDay with @letsmakeadeal. 🥑 Relive this #LMAD moment when an avocado wins one amazing deal! https://t.co/QS8GLajWU5,Tue Jul 31 21:02:33 +0000 2018,0.451,0.549,0.0,0.9098
287,@BBCWorld,BBC News (World),'A horrendous battle': Dry conditions fuel California wildfires https://t.co/lipl6doKJX,Tue Jul 31 21:10:47 +0000 2018,0.0,0.678,0.322,-0.5859
288,@BBCWorld,BBC News (World),South Africa to amend constitution to allow land expropriation https://t.co/uPKuWAejmT,Tue Jul 31 21:28:39 +0000 2018,0.174,0.826,0.0,0.2263
289,@BBCWorld,BBC News (World),"RT @BBCBreaking: Plane with at least 80 on board crashes in Mexican city of Durango, local media report https://t.co/BrNF7LDkq8",Tue Jul 31 21:42:30 +0000 2018,0.0,1.0,0.0,0.0
290,@BBCWorld,BBC News (World),Airliner crashes in Mexico - reports https://t.co/4omqnDT7gZ,Tue Jul 31 21:43:38 +0000 2018,0.0,1.0,0.0,0.0
291,@BBCWorld,BBC News (World),Canada says it is using DNA websites to identify some migrants https://t.co/r0DMkoIp9M,Tue Jul 31 22:01:07 +0000 2018,0.0,1.0,0.0,0.0
292,@BBCWorld,BBC News (World),US embassy in London auctions off toilet rolls and old goods https://t.co/L3AJUtNMDB,Tue Jul 31 22:47:08 +0000 2018,0.0,1.0,0.0,0.0
293,@BBCWorld,BBC News (World),Black Panther spin-off: How author Nnedi Okorafor found her identity https://t.co/ckuLR5VGzw,Tue Jul 31 23:03:24 +0000 2018,0.0,1.0,0.0,0.0
294,@BBCWorld,BBC News (World),Disinvited - the bridesmaids no longer needed https://t.co/J1GHxeizPL,Tue Jul 31 23:05:54 +0000 2018,0.0,0.732,0.268,-0.296
295,@BBCWorld,BBC News (World),100 Women: Playing mother to El Salvador's gang children https://t.co/JbpDgxJGQr,Tue Jul 31 23:25:26 +0000 2018,0.167,0.833,0.0,0.2023
296,@CBS,CBS,"No pain, no gain, ALL Hart! Just one month until the premiere of @TKOCBS hosted by @KevinHart4real. https://t.co/C1yMCglxVn",Tue Jun 12 00:19:23 +0000 2018,0.134,0.551,0.315,-0.5562
297,@BBCWorld,BBC News (World),US release of 3D-printed gun software blocked https://t.co/KupI0zwD3i,Wed Aug 01 01:53:35 +0000 2018,0.0,0.571,0.429,-0.5423
298,@BBCWorld,BBC News (World),How to print your own firearm https://t.co/QwdhuPa7MJ,Wed Aug 01 02:13:11 +0000 2018,0.0,1.0,0.0,0.0
299,@BBCWorld,BBC News (World),Plastic bags: Australia anger over Coles 'caving in to tantrums' https://t.co/rKmTzka50v,Wed Aug 01 02:56:19 +0000 2018,0.0,0.592,0.408,-0.7351
300,@BBCWorld,BBC News (World),"RT @SallyBundockBBC: If you are a #Facebook user tell us what you're up to. Do you use the social media platform to connect, for news, shop…",Wed Aug 01 03:02:23 +0000 2018,0.0,1.0,0.0,0.0
301,@BBCWorld,BBC News (World),Window-smashing kangaroo escapes from shelter in Australia https://t.co/P4sbbcV3wS,Wed Aug 01 04:59:52 +0000 2018,0.176,0.824,0.0,0.128
302,@BBCWorld,BBC News (World),"RT @BBCSport: Incredible.

Johanna Konta has inflicted the worst defeat of Serena Williams' career 👉 https://t.co/G8me6nYIG0 https://t.co/Q…",Wed Aug 01 05:53:37 +0000 2018,0.0,0.717,0.283,-0.7964
303,@BBCWorld,BBC News (World),"Not Middle Earth or Westeros, but Vietnam. 

This outstanding new bridge has taken the internet by storm… https://t.co/j8IkZyk1ky",Wed Aug 01 06:37:35 +0000 2018,0.28,0.72,0.0,0.8236
304,@nytimes,The New York Times,RT @PekingMike: Important story on some pushback against Xi - must read. By ⁦@ChuBailiang⁩  https://t.co/FRa3dyxP4Q,Wed Aug 01 07:18:06 +0000 2018,0.122,0.878,0.0,0.2023
305,@nytimes,The New York Times,China’s Plan to Win Friends and Influence Includes Ski Slopes and Spas https://t.co/xK8ySAhcMY,Wed Aug 01 07:18:31 +0000 2018,0.385,0.615,0.0,0.7845
306,@nytimes,The New York Times,"""You started understanding the life of the people, how they lived, what they thought, who they loved"" https://t.co/D64VSN8vlm",Wed Aug 01 07:32:06 +0000 2018,0.187,0.813,0.0,0.5994
307,@BBCWorld,BBC News (World),"Meet Mamma Maria, the Greek mother who feeds refugees and says threats won't stop her 

https://t.co/KVh5uI8dTw https://t.co/QTnNvrgRvz",Wed Aug 01 07:46:07 +0000 2018,0.096,0.762,0.142,-0.2292
308,@nytimes,The New York Times,RT @nytopinion: Exploiting my family by having my sister disown me on state television was by far Iran's most ferocious attempt to shame me…,Wed Aug 01 07:47:02 +0000 2018,0.0,0.732,0.268,-0.7713
309,@BBCWorld,BBC News (World),Zimbabwe's Zanu-PF 'has most seats' https://t.co/mlJ5PgtEfa,Wed Aug 01 08:01:52 +0000 2018,0.0,1.0,0.0,0.0
310,@nytimes,The New York Times,"""Among everyone caught up in the #MeToo movement, only Mr. Moonves was so bold — or so reckless — as to start a civ… https://t.co/C91XUrI0So",Wed Aug 01 08:02:02 +0000 2018,0.128,0.759,0.114,0.0959
311,@nytimes,The New York Times,"RT @nytimesworld: “I don’t think the government realizes how bad the drought is,” one Australian cattle farmer said. “Farmers are past the…",Wed Aug 01 08:15:06 +0000 2018,0.0,0.857,0.143,-0.5423
312,@nytimes,The New York Times,"""The touchpoint with ISIS is not by proximity to the caliphate but through the relationships they make online,"" sai… https://t.co/VAwrV6KNpQ",Wed Aug 01 08:30:08 +0000 2018,0.0,1.0,0.0,0.0
313,@BBCWorld,BBC News (World),Swedish crown jewels: Speedboat thieves steal priceless treasures https://t.co/sHFod8j8YC,Wed Aug 01 08:35:10 +0000 2018,0.335,0.289,0.376,-0.1779
314,@nytimes,The New York Times,RT @nytimesworld: 3 Russian journalists who were investigating the activities of a private security company were killed in the Central Afri…,Wed Aug 01 08:46:05 +0000 2018,0.1,0.711,0.188,-0.4767
315,@nytimes,The New York Times,"Police say a Connecticut man used dating apps to hunt women, including a nurse he met through Tinder who was murder… https://t.co/lBWHxlaLq0",Wed Aug 01 09:00:05 +0000 2018,0.0,1.0,0.0,0.0
316,@BBCWorld,BBC News (World),"RT @BBC_HaveYourSay: 👩‍✈️Daughter pilots mum's final flight as an air hostess. ✈️
https://t.co/0YS4PsU0uz",Wed Aug 01 09:15:06 +0000 2018,0.0,1.0,0.0,0.0
317,@nytimes,The New York Times,Facebook said that it had identified a political influence campaign that was potentially built to disrupt the U.S.… https://t.co/wuePI6gIjl,Wed Aug 01 09:15:08 +0000 2018,0.0,1.0,0.0,0.0
318,@BBCWorld,BBC News (World),RT @BBCAfrica: Zimbabwe elections: The bones that haunt the country https://t.co/lUZQPIOUlg https://t.co/WBA5rJ5yJZ,Wed Aug 01 09:17:13 +0000 2018,0.0,0.803,0.197,-0.4019
319,@nytimes,The New York Times,The second-largest number of votes in Cambodia's general election went to a surprising beneficiary: no one https://t.co/jqco30UHC4,Wed Aug 01 09:32:05 +0000 2018,0.314,0.58,0.106,0.5106
320,@nytimes,The New York Times,One construction firm used China's Belt and Road plan to justify a deal to build an amusement park in an Indonesian… https://t.co/kfqohSMqPG,Wed Aug 01 09:45:05 +0000 2018,0.111,0.889,0.0,0.3612
321,@BBCWorld,BBC News (World),Koreans turn to ice vests and hot soup in record Seoul heat https://t.co/mbS1uVrvqT,Wed Aug 01 09:50:19 +0000 2018,0.0,1.0,0.0,0.0
322,@nytimes,The New York Times,Morning Briefing: Here's what you need to know to start your day https://t.co/q0Y7ThSrbe https://t.co/hlUo4wgDYx,Wed Aug 01 10:00:09 +0000 2018,0.0,1.0,0.0,0.0
